0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
108,60,64,52,56,64,64,56,52,64,56,52,60,68,56,60,68,64,56,68,60,60,52,52,52,56,52,60,56,56,64,52,52,52,52,64,56,56,56,56,60,52,56,52,60,64,64,56,56,56
60,208,208,272,320,248,224,208,204,204,204,260,200,200,200,204,220,204,204,232,216,248,248,196,204,264,204,216,224,212,240,200,200,200,320,208,224,212,204,204,232,244,232,224,196,240,228,224,232,224
